facility_id,facility_name,network,status,annual_operating_cost_usd
HUB-A,Hub facility A,Hub Network,Active,13750
HUB-B,Hub facility B,Hub Network,Planned,10000
HUB-C,Hub facility C,Hub Network,Active,8500
HUB-D,Hub facility D,Hub Network,Active,10000
HUB-E,Hub facility E,Hub Network,Active,16000
HUB-F,Hub facility F,Hub Network,Active,14250
HUB-G,Hub facility G,Hub Network,Active,15250
HUB-H,Hub facility H,Hub Network,Planned,15250
HUB-I,Hub facility I,Hub Network,Planned,15750
HUB-J,Hub facility J,Hub Network,Active,14250
HUB-K,Hub facility K,Hub Network,Active,15750
HUB-L,Hub facility L,Hub Network,Active,8250
HUB-M,Hub facility M,Hub Network,Active,16250
HUB-N,Hub facility N,Hub Network,Planned,15500
HUB-O,Hub facility O,Hub Network,Planned,9750
HUB-P,Hub facility P,Hub Network,Active,9500
EXP-A,Expansion facility A,Expansion Network,Active,12000
EXP-B,Expansion facility B,Expansion Network,Planned,12000
EXP-C,Expansion facility C,Expansion Network,Active,6750
EXP-D,Expansion facility D,Expansion Network,Active,9750
EXP-E,Expansion facility E,Expansion Network,Planned,7250
EXP-F,Expansion facility F,Expansion Network,Active,14250
EXP-G,Expansion facility G,Expansion Network,Active,15250
EXP-H,Expansion facility H,Expansion Network,Active,15500
EXP-I,Expansion facility I,Expansion Network,Active,14500
EXP-J,Expansion facility J,Expansion Network,Active,13750
EXP-K,Expansion facility K,Expansion Network,Planned,9000
EXP-L,Expansion facility L,Expansion Network,Active,15250
EXP-M,Expansion facility M,Expansion Network,Active,15250
EXP-N,Expansion facility N,Expansion Network,Active,10500
EXP-O,Expansion facility O,Expansion Network,Planned,11500
EXP-P,Expansion facility P,Expansion Network,Active,8000
EXP-Q,Expansion facility Q,Expansion Network,Active,15500
EXP-R,Expansion facility R,Expansion Network,Active,14500
EXP-S,Expansion facility S,Expansion Network,Planned,11000
EXP-T,Expansion facility T,Expansion Network,Planned,11500
EXP-U,Expansion facility U,Expansion Network,Planned,13750
EXP-V,Expansion facility V,Expansion Network,Planned,15750
EXP-W,Expansion facility W,Expansion Network,Active,10750
EXP-X,Expansion facility X,Expansion Network,Active,11500
EXP-Y,Expansion facility Y,Expansion Network,Planned,10500
EXP-Z,Expansion facility Z,Expansion Network,Planned,7000
EXP-a,Expansion facility a,Expansion Network,Planned,14500
EXP-b,Expansion facility b,Expansion Network,Active,11500
